PRODUCT_ID,PRODUCT_TYPE,YIELD_RATE,SHIFT,MACHINE_ID,OPERATOR_ID,MATERIAL_BATCH,TEMPERATURE,HUMIDITY,DOWNTIME,DEFECT_COUNT,MAINTENANCE_SCHEDULE,TRACK_OUT_DATE,MANUFACTURE_DATE,MODEL_NAME,YEAR_OF_MANUFACTURE,ENGINE_TYPE,FUEL_TYPE,TRANSMISSION_TYPE,BODY_STYLE,Price(in Dollars),Mileage (km/l or mpg),SEATING_CAPACITY,COLOR_OPTIONS,SAFETY_FEATURES,Warranty Period(in Years),Horsepower (HP),Torque (Nm),Top Speed (km/h or mph),Acceleration (0-100 km/h or 0-60 mph),Dimensions (L x W x H),Weight (kg or lbs),Fuel Tank Capacity (liters)
191,Rolls-Royce,0.94,Afternoon,16,10,Batch_38,26.17,42.20,8.41,9,21:37.5,2024-07-22,2024-03-01,Model_90,2004,Electric,Electric,Manual,Sedan,34456,20.73,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,601,255,207,6.90,4953 x 1769 x 1475 mm,1839,
192,Subaru,0.83,Night,1,41,Batch_53,20.00,41.45,9.64,8,21:37.5,2024-02-17,2023-12-04,Model_51,2009,Hybrid,Hybrid,Automatic,Hatchback,24599,29.35,5,"Red, Blue, Black","Airbags, ABS, EBD",5,373,437,302,5.27,4800 x 1899 x 1533 mm,2474,74
193,Mitsubishi,0.84,Night,7,24,Batch_53,17.32,67.04,2.00,3,21:37.5,2024-06-01,2024-04-04,Model_72,2023,V6,Diesel,Manual,Coupe,87442,15.18,3,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,381,638,237,8.19,4619 x 1745 x 1436 mm,1926,51
194,Rivian,0.92,Afternoon,2,30,Batch_17,25.01,53.56,7.87,5,21:37.5,2024-05-19,2024-01-15,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
195,Ford,0.82,Afternoon,13,49,Batch_63,16.43,37.72,3.69,9,21:37.5,2024-10-11,2024-02-21,Model_1,2006,Hybrid,Petrol,Manual,Sedan,92888,15.39,3,"White, Silver, Grey","Airbags, ABS, EBD",6,696,298,261,9.00,4421 x 1748 x 1452 mm,2469,45
196,BMW,0.96,Afternoon,7,10,Batch_23,21.15,56.22,8.33,3,21:37.5,2024-11-05,2024-05-26,Model_78,2011,V6,Petrol,Manual,Sedan,59934,21.49,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,328,268,204,4.49,4295 x 1862 x 1492 mm,1010,54
197,Seat,0.93,Morning,17,24,Batch_30,27.01,33.79,8.69,2,21:37.5,2024-06-23,2024-03-21,Model_92,2004,Hybrid,Hybrid,Automatic,Hatchback,94167,17.01,2,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,246,855,208,2.69,4386 x 1946 x 1429 mm,1743,73
198,Buick,0.83,Night,15,3,Batch_92,17.08,31.85,5.63,6,21:37.5,2023-11-30,2024-03-09,Model_5,2009,Electric,Electric,Manual,Sedan,38608,28.33,5,"Green, Yellow, Orange","Traction Control, Lane Assist",3,150,444,348,4.69,4363 x 1922 x 1456 mm,2354,
199,Honda,0.87,Afternoon,14,50,Batch_67,21.59,62.79,0.40,6,21:37.5,2024-05-26,2024-09-15,Model_11,2011,V8,Petrol,Manual,Hatchback,52649,13.07,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,670,836,159,6.11,4210 x 1933 x 1543 mm,1261,40
200,Chevrolet,0.95,Afternoon,14,23,Batch_55,18.31,50.67,0.70,6,21:37.5,2024-10-22,2024-06-13,Model_2,2020,V6,Diesel,Manual,SUV,36249,15.82,5,"White, Silver, Grey","Airbags, ABS, EBD",3,523,488,159,4.56,4435 x 1861 x 1499 mm,1818,51
201,Chrysler,0.90,Morning,4,24,Batch_26,15.05,52.44,6.84,9,21:37.5,2024-01-18,2023-11-24,Model_75,2019,Hybrid,Diesel,Automatic,Coupe,25723,28.85,5,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",3,525,762,283,8.31,4523 x 1711 x 1563 mm,1779,68
202,Cadillac,0.89,Afternoon,18,10,Batch_16,23.73,30.91,9.85,6,21:37.5,2024-09-05,2024-03-17,Model_5,2003,Electric,Electric,Manual,Hatchback,65277,16.30,5,"White, Silver, Grey","Traction Control, Lane Assist",4,384,706,308,7.23,4086 x 1859 x 1458 mm,1998,
203,GMC,0.84,Afternoon,10,21,Batch_25,29.30,44.05,4.48,2,21:37.5,2024-04-13,2024-03-03,Model_47,2019,Electric,Electric,Automatic,Coupe,95678,24.26,2,"Red, Blue, Black","Airbags, ABS, EBD",3,367,634,179,6.15,4235 x 1960 x 1520 mm,2096,
204,Daihatsu,0.98,Night,4,1,Batch_68,23.75,35.16,1.66,2,21:37.5,2024-03-20,2024-06-11,Model_69,2008,Hybrid,Petrol,Manual,Sedan,35908,17.88,4,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,223,712,217,9.71,4971 x 1744 x 1436 mm,2065,72
205,Volkswagen,0.89,Night,8,25,Batch_24,27.79,52.59,9.76,4,21:37.5,2024-05-07,2024-10-15,Model_19,2020,Hybrid,Petrol,Automatic,SUV,47791,14.35,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,312,526,211,9.48,4650 x 1808 x 1523 mm,2296,42
206,Peugeot,0.89,Afternoon,2,14,Batch_96,24.39,41.81,4.64,9,21:37.5,2024-01-29,2024-08-11,Model_80,2017,V8,Diesel,Manual,Hatchback,72485,22.21,6,"Red, Blue, Black","Airbags, ABS, EBD",5,696,511,332,6.10,4541 x 1840 x 1486 mm,2408,70
207,Lincoln,0.99,Night,18,43,Batch_74,18.04,35.99,9.61,6,21:37.5,2024-11-17,2024-07-29,Model_80,2016,V6,Petrol,Automatic,Sedan,61303,15.34,5,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,689,587,225,5.07,4281 x 1883 x 1405 mm,1512,67
208,Volvo,0.94,Afternoon,15,31,Batch_7,29.76,67.63,5.42,8,21:37.5,2024-05-17,2024-03-06,Model_17,2009,V6,Hybrid,Automatic,Coupe,81395,12.04,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,211,652,157,5.50,4718 x 1777 x 1406 mm,1339,44
209,Oldsmobile,0.95,Morning,17,40,Batch_77,25.15,46.56,2.24,7,21:37.5,2024-09-02,2024-06-16,Model_69,2008,V6,Diesel,Manual,Coupe,69862,24.85,2,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",5,452,673,187,4.24,4513 x 1772 x 1447 mm,1990,60
210,Peugeot,0.91,Afternoon,4,34,Batch_93,21.37,40.10,1.79,1,21:37.5,2024-10-30,2024-09-20,Model_80,2017,V8,Diesel,Manual,Hatchback,72485,22.21,6,"Red, Blue, Black","Airbags, ABS, EBD",5,696,511,332,6.10,4541 x 1840 x 1486 mm,2408,70
211,Plymouth,0.87,Afternoon,16,34,Batch_69,18.06,50.10,6.84,10,21:37.5,2024-03-15,2024-08-27,Model_9,2007,Hybrid,Diesel,Manual,SUV,61486,23.24,3,"Green, Yellow, Orange","Airbags, ABS, EBD",3,528,264,313,9.56,4432 x 1758 x 1440 mm,1682,71
212,Hummer,0.99,Afternoon,12,8,Batch_56,28.64,56.56,9.51,2,21:37.5,2023-12-08,2024-10-16,Model_79,2006,Electric,Electric,Automatic,SUV,84033,11.92,7,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,179,661,344,5.31,4462 x 1892 x 1581 mm,1032,
213,Ford,0.86,Night,10,5,Batch_16,24.02,37.14,4.18,1,21:37.5,2024-07-19,2024-04-19,Model_1,2006,Hybrid,Petrol,Manual,Sedan,92888,15.39,3,"White, Silver, Grey","Airbags, ABS, EBD",6,696,298,261,9.00,4421 x 1748 x 1452 mm,2469,45
214,Plymouth,0.99,Afternoon,9,21,Batch_29,18.43,65.23,9.30,4,21:37.5,2024-09-20,2024-11-17,Model_9,2007,Hybrid,Diesel,Manual,SUV,61486,23.24,3,"Green, Yellow, Orange","Airbags, ABS, EBD",3,528,264,313,9.56,4432 x 1758 x 1440 mm,1682,71
215,Smart,0.86,Night,19,48,Batch_22,24.93,55.08,9.47,8,21:37.5,2024-10-04,2024-10-22,Model_73,2013,Electric,Electric,Manual,Sedan,39143,18.04,2,"Green, Yellow, Orange","Airbags, ABS, EBD",4,173,635,255,5.50,4625 x 1836 x 1489 mm,1642,
216,Tesla,0.90,Morning,1,44,Batch_33,24.10,64.13,3.50,0,21:37.5,2024-07-18,2024-10-27,Model_8,2014,Electric,Electric,Manual,Sedan,79487,16.42,3,"White, Silver, Grey","Traction Control, Lane Assist",3,316,498,223,9.70,4939 x 1785 x 1458 mm,2302,
217,Rivian,0.90,Afternoon,11,49,Batch_94,26.91,53.04,9.78,10,21:37.5,2024-04-06,2023-12-10,Model_72,2006,V6,Petrol,Manual,Coupe,67266,26.74,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,229,807,227,3.12,4764 x 1758 x 1541 mm,1029,69
218,Cadillac,0.81,Night,19,13,Batch_59,24.98,69.33,3.15,8,21:37.5,2024-08-15,2024-04-01,Model_5,2003,Electric,Electric,Manual,Hatchback,65277,16.30,5,"White, Silver, Grey","Traction Control, Lane Assist",4,384,706,308,7.23,4086 x 1859 x 1458 mm,1998,
219,Lucid Motors,0.88,Night,12,39,Batch_98,24.03,36.36,4.17,4,21:37.5,2024-03-30,2024-10-14,Model_66,2020,V6,Diesel,Automatic,Hatchback,47961,19.29,4,"White, Silver, Grey","Traction Control, Lane Assist",3,234,611,172,4.86,4691 x 1898 x 1585 mm,2310,74
220,Hyundai,0.95,Morning,15,41,Batch_35,24.78,30.53,4.84,9,21:37.5,2024-08-27,2024-01-16,Model_42,2014,Hybrid,Petrol,Automatic,Sedan,41985,23.14,2,"Red, Blue, Black","Airbags, ABS, EBD",4,645,578,181,6.63,4321 x 1718 x 1506 mm,1336,76
221,Renault,0.98,Night,4,14,Batch_56,29.02,54.11,7.79,4,21:37.5,2024-04-19,2023-12-17,Model_86,2007,V8,Petrol,Automatic,Sedan,44407,17.62,7,"White, Silver, Grey","Airbags, ABS, EBD",4,102,537,240,7.30,4457 x 1980 x 1467 mm,1352,64
222,Porsche,0.83,Night,5,47,Batch_84,19.24,39.89,0.29,8,21:37.5,2024-01-15,2024-01-05,Model_41,2000,V6,Diesel,Automatic,Hatchback,80941,22.97,7,"White, Silver, Grey","Traction Control, Lane Assist",6,629,781,283,7.42,4192 x 1895 x 1499 mm,2143,79
223,Buick,0.93,Afternoon,3,6,Batch_56,18.32,65.85,3.45,2,21:37.5,2024-07-19,2024-04-01,Model_5,2009,Electric,Electric,Manual,Sedan,38608,28.33,5,"Green, Yellow, Orange","Traction Control, Lane Assist",3,150,444,348,4.69,4363 x 1922 x 1456 mm,2354,
224,Saturn,0.88,Night,6,44,Batch_45,22.86,43.47,4.68,8,21:37.5,2023-12-20,2024-05-20,Model_26,2004,Hybrid,Diesel,Manual,Hatchback,86853,23.15,2,"Green, Yellow, Orange","Airbags, ABS, EBD",5,210,396,317,4.27,4544 x 1763 x 1450 mm,2090,73
225,Saturn,0.91,Night,18,2,Batch_92,21.05,37.27,9.28,5,21:37.5,2024-02-27,2023-12-21,Model_26,2004,Hybrid,Diesel,Manual,Hatchback,86853,23.15,2,"Green, Yellow, Orange","Airbags, ABS, EBD",5,210,396,317,4.27,4544 x 1763 x 1450 mm,2090,73
226,GMC,0.86,Morning,9,46,Batch_21,19.92,48.36,2.93,8,21:37.5,2024-06-16,2024-04-20,Model_47,2019,Electric,Electric,Automatic,Coupe,95678,24.26,2,"Red, Blue, Black","Airbags, ABS, EBD",3,367,634,179,6.15,4235 x 1960 x 1520 mm,2096,
227,Mini,0.97,Morning,11,39,Batch_26,28.90,39.34,7.06,2,21:37.5,2024-04-02,2024-08-03,Model_99,2017,V6,Diesel,Manual,Hatchback,30617,12.86,5,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",5,172,444,294,7.40,4168 x 1747 x 1567 mm,1349,57
228,Bugatti,0.87,Morning,2,12,Batch_58,29.45,33.41,1.88,6,21:37.5,2024-09-04,2024-10-02,Model_94,2009,V6,Diesel,Manual,SUV,34490,16.74,3,"Green, Yellow, Orange","Airbags, ABS, EBD",6,359,725,320,4.82,4602 x 1969 x 1507 mm,2116,65
229,Land Rover,0.95,Afternoon,15,19,Batch_85,20.83,33.64,0.09,2,21:37.5,2024-07-18,2024-01-08,Model_42,2008,V8,Diesel,Automatic,Coupe,98054,21.75,7,"Red, Blue, Black","Airbags, ABS, EBD",5,197,203,201,6.48,4850 x 1907 x 1429 mm,2124,40
230,Pontiac,0.87,Morning,14,14,Batch_4,16.75,35.48,3.17,1,21:37.5,2024-10-03,2024-03-15,Model_61,2011,V6,Petrol,Automatic,Sedan,53482,16.80,6,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,125,244,301,8.40,4933 x 1858 x 1515 mm,1057,58
231,Mitsubishi,0.99,Morning,2,41,Batch_75,27.44,56.15,8.21,6,21:37.5,2024-06-03,2024-09-28,Model_72,2023,V6,Diesel,Manual,Coupe,87442,15.18,3,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,381,638,237,8.19,4619 x 1745 x 1436 mm,1926,51
232,Jaguar,0.98,Morning,12,5,Batch_72,21.29,66.84,10.00,9,21:37.5,2024-09-29,2024-09-17,Model_28,2004,V6,Diesel,Automatic,SUV,65761,18.85,6,"Red, Blue, Black","Traction Control, Lane Assist",3,564,365,169,8.13,4356 x 1837 x 1404 mm,1400,40
233,Smart,0.85,Night,17,19,Batch_96,17.94,65.10,4.50,6,21:37.5,2024-03-30,2024-08-15,Model_73,2013,Electric,Electric,Manual,Sedan,39143,18.04,2,"Green, Yellow, Orange","Airbags, ABS, EBD",4,173,635,255,5.50,4625 x 1836 x 1489 mm,1642,
234,Aston Martin,0.85,Afternoon,11,35,Batch_99,21.50,58.69,7.53,7,21:37.5,2024-01-04,2024-08-30,Model_28,2019,Electric,Electric,Manual,SUV,86179,18.05,7,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,476,207,257,7.64,4134 x 1795 x 1495 mm,1085,
235,Porsche,0.86,Morning,9,22,Batch_96,18.26,65.80,1.01,8,21:37.5,2024-07-22,2024-03-18,Model_41,2000,V6,Diesel,Automatic,Hatchback,80941,22.97,7,"White, Silver, Grey","Traction Control, Lane Assist",6,629,781,283,7.42,4192 x 1895 x 1499 mm,2143,79
236,Alfa Romeo,0.98,Morning,16,3,Batch_57,28.44,37.06,1.42,4,21:37.5,2024-02-06,2023-12-30,Model_83,2015,Electric,Electric,Manual,Sedan,22607,16.19,4,"White, Silver, Grey","Traction Control, Lane Assist",5,124,750,220,5.57,4670 x 1867 x 1478 mm,1911,
237,Volkswagen,0.83,Night,16,32,Batch_82,26.19,61.96,7.42,10,21:37.5,2023-11-28,2024-05-31,Model_19,2020,Hybrid,Petrol,Automatic,SUV,47791,14.35,7,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,312,526,211,9.48,4650 x 1808 x 1523 mm,2296,42
238,Maserati,0.97,Night,18,10,Batch_23,29.96,47.30,5.04,3,21:37.5,2024-02-02,2024-08-06,Model_48,2020,Hybrid,Hybrid,Manual,Coupe,82351,21.86,4,"Green, Yellow, Orange","Airbags, ABS, EBD",4,249,765,221,3.82,4824 x 1975 x 1587 mm,1947,65
239,Honda,0.86,Morning,20,43,Batch_16,18.31,45.26,9.07,6,21:37.5,2024-10-19,2024-08-05,Model_11,2011,V8,Petrol,Manual,Hatchback,52649,13.07,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,670,836,159,6.11,4210 x 1933 x 1543 mm,1261,40
240,Porsche,0.97,Morning,1,23,Batch_33,25.61,40.93,9.73,0,21:37.5,2024-06-02,2024-08-12,Model_41,2000,V6,Diesel,Automatic,Hatchback,80941,22.97,7,"White, Silver, Grey","Traction Control, Lane Assist",6,629,781,283,7.42,4192 x 1895 x 1499 mm,2143,79
241,Honda,0.97,Night,1,49,Batch_41,29.85,42.89,3.88,6,21:37.5,2024-06-05,2024-08-09,Model_11,2011,V8,Petrol,Manual,Hatchback,52649,13.07,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,670,836,159,6.11,4210 x 1933 x 1543 mm,1261,40
242,Smart,0.93,Afternoon,15,12,Batch_30,25.03,55.88,6.15,10,21:37.5,2024-07-26,2024-09-27,Model_73,2013,Electric,Electric,Manual,Sedan,39143,18.04,2,"Green, Yellow, Orange","Airbags, ABS, EBD",4,173,635,255,5.50,4625 x 1836 x 1489 mm,1642,
243,Pontiac,0.95,Morning,5,1,Batch_68,18.24,58.60,1.63,6,21:37.5,2024-08-18,2024-06-21,Model_61,2011,V6,Petrol,Automatic,Sedan,53482,16.80,6,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,125,244,301,8.40,4933 x 1858 x 1515 mm,1057,58
244,Nissan,0.97,Morning,3,24,Batch_26,16.04,45.97,3.93,1,21:37.5,2024-02-11,2024-05-21,Model_50,2008,V6,Diesel,Automatic,SUV,23560,25.70,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,335,317,321,6.09,4096 x 1781 x 1480 mm,1898,73
245,Acura,0.99,Afternoon,15,22,Batch_22,18.78,49.82,8.34,7,21:37.5,2024-01-01,2024-01-23,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
246,GMC,0.91,Night,5,37,Batch_80,26.51,58.77,0.88,8,21:37.5,2023-12-31,2024-05-30,Model_47,2019,Electric,Electric,Automatic,Coupe,95678,24.26,2,"Red, Blue, Black","Airbags, ABS, EBD",3,367,634,179,6.15,4235 x 1960 x 1520 mm,2096,
247,Tesla,1.00,Morning,18,24,Batch_70,18.51,37.08,8.46,3,21:37.5,2024-10-23,2024-06-12,Model_8,2014,Electric,Electric,Manual,Sedan,79487,16.42,3,"White, Silver, Grey","Traction Control, Lane Assist",3,316,498,223,9.70,4939 x 1785 x 1458 mm,2302,
248,McLaren,0.82,Night,8,11,Batch_50,23.71,55.74,5.36,8,21:37.5,2024-02-15,2024-07-10,Model_15,2013,V6,Hybrid,Automatic,Sedan,46999,25.92,3,"Green, Yellow, Orange","Traction Control, Lane Assist",3,274,869,248,8.08,4643 x 1795 x 1457 mm,2339,58
249,Infiniti,0.92,Night,11,28,Batch_17,17.68,48.55,9.24,4,21:37.5,2024-08-27,2024-09-17,Model_67,2008,Hybrid,Petrol,Manual,SUV,47305,14.66,2,"Green, Yellow, Orange","Airbags, ABS, EBD",7,224,892,309,2.72,4155 x 1941 x 1543 mm,1552,73
250,Saab,0.83,Night,6,37,Batch_71,27.40,51.04,9.24,3,21:37.5,2023-11-19,2024-03-25,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
251,McLaren,0.97,Morning,18,13,Batch_71,23.48,48.98,7.38,7,21:37.5,2024-06-24,2024-04-20,Model_15,2013,V6,Hybrid,Automatic,Sedan,46999,25.92,3,"Green, Yellow, Orange","Traction Control, Lane Assist",3,274,869,248,8.08,4643 x 1795 x 1457 mm,2339,58
252,Daihatsu,0.90,Night,6,15,Batch_47,29.91,58.17,6.97,4,21:37.5,2023-12-25,2024-02-03,Model_69,2008,Hybrid,Petrol,Manual,Sedan,35908,17.88,4,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",6,223,712,217,9.71,4971 x 1744 x 1436 mm,2065,72
253,Infiniti,0.88,Morning,8,36,Batch_46,19.05,31.27,8.86,9,21:37.5,2023-12-15,2024-10-31,Model_67,2008,Hybrid,Petrol,Manual,SUV,47305,14.66,2,"Green, Yellow, Orange","Airbags, ABS, EBD",7,224,892,309,2.72,4155 x 1941 x 1543 mm,1552,73
254,Saab,0.98,Afternoon,15,30,Batch_11,28.63,60.71,2.84,2,21:37.5,2023-12-13,2024-07-03,Model_86,2021,Electric,Electric,Automatic,Hatchback,83945,27.81,7,"Green, Yellow, Orange","Airbags, ABS, EBD",3,199,789,280,6.04,4496 x 1997 x 1411 mm,1056,
255,BMW,0.82,Night,2,25,Batch_1,23.15,47.66,3.97,1,21:37.5,2024-06-25,2024-08-08,Model_78,2011,V6,Petrol,Manual,Sedan,59934,21.49,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,328,268,204,4.49,4295 x 1862 x 1492 mm,1010,54
256,Rolls-Royce,0.80,Afternoon,19,5,Batch_71,22.12,59.03,6.98,1,21:37.5,2023-11-25,2024-11-15,Model_90,2004,Electric,Electric,Manual,Sedan,34456,20.73,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",7,601,255,207,6.90,4953 x 1769 x 1475 mm,1839,
257,Honda,0.91,Afternoon,13,37,Batch_3,15.91,30.17,7.82,8,21:37.5,2024-04-03,2024-06-11,Model_11,2011,V8,Petrol,Manual,Hatchback,52649,13.07,7,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,670,836,159,6.11,4210 x 1933 x 1543 mm,1261,40
258,Nissan,0.81,Afternoon,6,43,Batch_63,25.64,38.70,0.04,6,21:37.5,2024-06-24,2024-08-02,Model_50,2008,V6,Diesel,Automatic,SUV,23560,25.70,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",4,335,317,321,6.09,4096 x 1781 x 1480 mm,1898,73
259,Fiat,0.81,Afternoon,12,19,Batch_35,20.55,34.89,1.47,9,21:37.5,2024-03-29,2024-08-13,Model_19,2004,Electric,Electric,Manual,Coupe,29483,16.94,7,"Red, Blue, Black","Airbags, ABS, EBD",6,504,615,332,8.48,4641 x 1712 x 1429 mm,1231,
260,Plymouth,0.97,Night,9,14,Batch_86,19.33,36.94,9.54,1,21:37.5,2024-08-01,2024-06-03,Model_9,2007,Hybrid,Diesel,Manual,SUV,61486,23.24,3,"Green, Yellow, Orange","Airbags, ABS, EBD",3,528,264,313,9.56,4432 x 1758 x 1440 mm,1682,71
261,Fiat,0.84,Night,18,11,Batch_90,24.51,30.08,4.87,3,21:37.5,2024-09-15,2024-01-06,Model_19,2004,Electric,Electric,Manual,Coupe,29483,16.94,7,"Red, Blue, Black","Airbags, ABS, EBD",6,504,615,332,8.48,4641 x 1712 x 1429 mm,1231,
262,Bentley,0.84,Night,19,20,Batch_11,22.37,59.07,4.66,5,21:37.5,2024-06-06,2024-02-25,Model_38,2009,V8,Petrol,Manual,Coupe,35197,11.33,2,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,254,455,268,6.16,4490 x 1722 x 1475 mm,1091,50
263,Mitsubishi,0.96,Afternoon,6,48,Batch_54,25.98,65.67,4.13,6,21:37.5,2024-02-28,2024-01-27,Model_72,2023,V6,Diesel,Manual,Coupe,87442,15.18,3,"Green, Yellow, Orange","Blind Spot Monitoring, Rear Camera",4,381,638,237,8.19,4619 x 1745 x 1436 mm,1926,51
264,Bentley,0.94,Night,15,4,Batch_84,24.24,32.46,6.92,1,21:37.5,2024-08-12,2024-04-18,Model_38,2009,V8,Petrol,Manual,Coupe,35197,11.33,2,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",7,254,455,268,6.16,4490 x 1722 x 1475 mm,1091,50
265,Maserati,0.95,Night,11,28,Batch_45,20.76,66.55,9.81,9,21:37.5,2024-05-30,2024-06-16,Model_48,2020,Hybrid,Hybrid,Manual,Coupe,82351,21.86,4,"Green, Yellow, Orange","Airbags, ABS, EBD",4,249,765,221,3.82,4824 x 1975 x 1587 mm,1947,65
266,Opel,0.97,Night,1,26,Batch_91,23.86,40.67,8.13,1,21:37.5,2024-04-19,2024-05-10,Model_29,2013,Electric,Electric,Manual,Coupe,29039,18.28,7,"Green, Yellow, Orange","Traction Control, Lane Assist",4,154,222,290,4.21,4220 x 1999 x 1526 mm,1146,
267,Fiat,0.82,Night,19,15,Batch_45,29.54,50.69,8.25,6,21:37.5,2024-07-28,2024-02-08,Model_19,2004,Electric,Electric,Manual,Coupe,29483,16.94,7,"Red, Blue, Black","Airbags, ABS, EBD",6,504,615,332,8.48,4641 x 1712 x 1429 mm,1231,
268,Infiniti,0.90,Night,9,12,Batch_88,22.98,54.96,6.95,3,21:37.5,2023-12-08,2024-05-21,Model_67,2008,Hybrid,Petrol,Manual,SUV,47305,14.66,2,"Green, Yellow, Orange","Airbags, ABS, EBD",7,224,892,309,2.72,4155 x 1941 x 1543 mm,1552,73
269,Alfa Romeo,0.91,Morning,8,5,Batch_7,24.67,41.21,3.74,4,21:37.5,2024-07-16,2024-05-27,Model_83,2015,Electric,Electric,Manual,Sedan,22607,16.19,4,"White, Silver, Grey","Traction Control, Lane Assist",5,124,750,220,5.57,4670 x 1867 x 1478 mm,1911,
270,Skoda,0.84,Night,10,5,Batch_90,25.18,57.72,3.94,10,21:37.5,2024-10-04,2024-09-20,Model_78,2010,V6,Diesel,Manual,SUV,71300,29.69,5,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",6,148,827,336,3.77,4586 x 1768 x 1431 mm,1931,52
271,Tesla,0.98,Afternoon,11,22,Batch_60,22.93,68.78,4.76,3,21:37.5,2024-11-12,2024-05-07,Model_8,2014,Electric,Electric,Manual,Sedan,79487,16.42,3,"White, Silver, Grey","Traction Control, Lane Assist",3,316,498,223,9.70,4939 x 1785 x 1458 mm,2302,
272,Volvo,0.97,Afternoon,8,47,Batch_65,21.70,43.56,2.55,7,21:37.5,2024-10-20,2024-09-10,Model_17,2009,V6,Hybrid,Automatic,Coupe,81395,12.04,3,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,211,652,157,5.50,4718 x 1777 x 1406 mm,1339,44
273,Acura,0.93,Afternoon,8,5,Batch_100,24.37,43.41,1.66,5,21:37.5,2024-02-22,2024-10-20,Model_11,2015,Hybrid,Hybrid,Manual,SUV,27921,10.28,2,"White, Silver, Grey","Blind Spot Monitoring, Rear Camera",3,346,721,237,6.48,4160 x 1821 x 1591 mm,1671,65
274,Jeep,0.94,Night,1,18,Batch_42,26.70,31.90,8.58,8,21:37.5,2023-12-20,2024-09-26,Model_95,2015,Electric,Electric,Manual,Coupe,91184,17.77,2,"Red, Blue, Black","Traction Control, Lane Assist",4,486,591,337,7.20,4782 x 1888 x 1588 mm,2060,
275,Suzuki,0.88,Morning,9,24,Batch_48,27.71,62.68,2.71,0,21:37.5,2023-12-16,2023-12-25,Model_22,2007,V6,Diesel,Manual,Coupe,55884,29.85,4,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",5,579,779,278,9.29,4168 x 1761 x 1556 mm,2087,51
276,Opel,0.89,Night,18,49,Batch_94,22.57,54.74,0.04,1,21:37.5,2024-07-28,2024-06-26,Model_29,2013,Electric,Electric,Manual,Coupe,29039,18.28,7,"Green, Yellow, Orange","Traction Control, Lane Assist",4,154,222,290,4.21,4220 x 1999 x 1526 mm,1146,
277,Vauxhall,0.80,Afternoon,3,41,Batch_18,19.67,68.99,6.17,5,21:37.5,2024-06-10,2024-11-08,Model_76,2006,Electric,Electric,Automatic,Hatchback,89831,21.75,4,"Red, Blue, Black","Blind Spot Monitoring, Rear Camera",6,490,847,320,6.61,4381 x 1956 x 1545 mm,1132,
